Province/State,Country/Region,Lat,Long_,Total Cases,Deaths,Recovered,Active,Incidence_Rate,Case-Fatality_Ratio,Recovery rate,Death rate,hover_name,New Cases,New Recovered,New Deaths
Hokkaido,Japan,43.385711,142.552318,1090,87,812,191,20.761710985935558,7.981651376146789,0.744954128440367,0.0798165137614679,"Hokkaido, Japan",0,0,0
Hong Kong,China,22.3,114.2,1093,4,1038,51,14.579188335368814,0.36596523330283626,0.94967978042086,0.0036596523330283625,"Hong Kong, China",0,0,0
Huancavelica,Peru,-13.023888,-75.00277,449,1,0,448,122.912674514098,0.22271714922049002,0.0,0.0022271714922048997,"Huancavelica, Peru",0,0,0
Huanuco,Peru,-9.421676,-76.040642,979,13,0,966,128.7649611995265,1.3278855975485189,0.0,0.013278855975485188,"Huanuco, Peru",0,0,0
Hubei,China,30.9756,112.2707,68135,4512,63620,3,115.15125908399528,6.622147207749322,0.9337344976884127,0.06622147207749321,"Hubei, China",0,0,0
Huila,Colombia,2.5359,-75.5277,251,13,189,49,22.81017751952497,5.179282868525896,0.7529880478087649,0.05179282868525897,"Huila, Colombia",0,0,0
Hunan,China,27.6104,111.7088,1019,4,1015,0,1.4770256558921582,0.3925417075564279,0.9960745829244357,0.003925417075564278,"Hunan, China",0,0,0
Hyogo,Japan,35.039913,134.828057,699,42,632,25,12.787700390948725,6.008583690987124,0.9041487839771102,0.060085836909871244,"Hyogo, Japan",0,0,0
Ibaraki,Japan,36.303588,140.319591,168,10,151,7,5.873495397522015,5.9523809523809526,0.8988095238095238,0.05952380952380952,"Ibaraki, Japan",0,0,0
Ica,Peru,-14.235097,-75.574821,3450,252,0,3198,353.7735849056604,7.304347826086956,0.0,0.07304347826086957,"Ica, Peru",0,0,0
Ingushetia Republic,Russia,43.11542075,45.01713552,2164,52,906,1206,443.40355255581983,2.4029574861367844,0.41866913123844735,0.024029574861367836,"Ingushetia Republic, Russia",0,0,0
Inner Mongolia,China,44.0935,113.9448,235,1,209,25,0.9273875295974744,0.425531914893617,0.8893617021276595,0.00425531914893617,"Inner Mongolia, China",0,0,0
Irkutsk Oblast,Russia,56.6370122,104.71922099999999,2189,13,405,1771,91.04918694199098,0.5938784833257195,0.18501598903608954,0.005938784833257195,"Irkutsk Oblast, Russia",0,0,0
Ishikawa,Japan,36.769464,136.771027,298,25,227,46,26.19437102304841,8.389261744966444,0.761744966442953,0.08389261744966443,"Ishikawa, Japan",0,0,0
Isle of Man,United Kingdom,54.2361,-4.5481,336,24,311,1,395.14535704205474,7.142857142857142,0.9255952380952381,0.07142857142857142,"Isle of Man, United Kingdom",0,0,0
Ivano-Frankivsk Oblast,Ukraine,48.9226,24.7111,1442,83,843,516,105.00621881490069,5.755894590846047,0.5846047156726768,0.057558945908460474,"Ivano-Frankivsk Oblast, Ukraine",0,0,0
Ivanovo Oblast,Russia,56.9167446,41.43521370000001,2140,18,864,1258,210.91099753017312,0.8411214953271028,0.40373831775700936,0.008411214953271028,"Ivanovo Oblast, Russia",0,0,0
Jalisco,Mexico,20.6595,-103.3494,2025,167,1116,742,24.079356999119945,8.246913580246913,0.5511111111111111,0.08246913580246913,"Jalisco, Mexico",0,0,0
Jewish Autonomous Okrug,Russia,48.57527615,132.66307460000002,314,3,211,100,193.81041144592442,0.9554140127388536,0.6719745222929936,0.009554140127388535,"Jewish Autonomous Okrug, Russia",0,0,0
Jiangsu,China,32.9711,119.455,653,0,653,0,0.8110793690224817,0.0,1.0,0.0,"Jiangsu, China",0,0,0
