Country/Region,Total Cases,New Cases,Active,Recovered,New Recovered,Deaths,New Deaths,Population,Cases/M pop,Deaths/M pop,Recovery rate,Death rate
Barbados,204,1,15,182,0,7,0,287375,709,24,0.8921568627450981,0.03431372549019608
Comoros,495,0,13,475,0,7,0,869601,569,8,0.9595959595959596,0.014141414141414142
Antigua and Barbuda,111,0,11,97,0,3,0,97929,1133,30,0.8738738738738738,0.02702702702702703
Papua New Guinea,549,0,10,532,0,7,0,8947024,61,0,0.9690346083788707,0.012750455373406194
Niger,1201,0,9,1123,1,69,0,24206644,49,2,0.9350541215653622,0.05745212323064113
Dominica,32,1,8,24,0,0,0,71986,444,0,0.75,0.0
Djibouti,5423,0,7,5355,0,61,0,988000,5488,61,0.987460815047022,0.011248386501936198
MS Zaandam,9,0,7,0,0,2,0,0,0,0,0.0,0.2222222222222222
Cambodia,283,2,6,277,1,0,0,16718965,16,0,0.9787985865724381,0.0
Mongolia,315,0,5,310,2,0,0,3278290,96,0,0.9841269841269841,0.0
Seychelles,148,0,4,144,1,0,0,98347,1504,0,0.972972972972973,0.0
Fiji,32,0,2,28,0,2,0,896445,35,2,0.875,0.0625
Saint Lucia,28,0,1,27,0,0,0,183627,152,0,0.9642857142857143,0.0
Laos,23,0,1,22,0,0,0,7275560,3,0,0.9565217391304348,0.0
Saint Kitts and Nevis,19,0,1,18,0,0,0,53199,357,0,0.9473684210526315,0.0
Western Sahara,10,0,1,8,0,1,0,597339,16,1,0.8,0.1
Brunei,146,0,0,143,0,3,0,437479,333,6,0.9794520547945206,0.02054794520547945
St. Vincent & Grenadines,64,0,0,64,0,0,0,110940,576,0,1.0,0.0
Timor-Leste,28,0,0,28,0,0,0,1318445,21,0,1.0,0.0
Grenada,24,0,0,24,0,0,0,112523,213,0,1.0,0.0
Holy See,12,0,0,12,0,0,0,801,14981,0,1.0,0.0
