Province/State,Country/Region,Lat,Long_,Total Cases,Deaths,Recovered,Active,Incidence_Rate,Case-Fatality_Ratio,Death rate,hover_name,New Cases,New Recovered,New Deaths
Abruzzo,Italy,42.35122196,13.39843823,3237,404,2063,770,246.80156757498588,12.480691998764286,0.12480691998764287,"Abruzzo, Italy",516,2240,87
Acre,Brazil,-9.0238,-70.812,5841,135,0,5706,662.2937064522897,2.3112480739599386,0.023112480739599383,"Acre, Brazil",26928,11872,1124
Aguascalientes,Mexico,21.8853,-102.2916,797,33,545,219,55.554200197262716,4.1405269761606025,0.04140526976160602,"Aguascalientes, Mexico",3227,2962,371
Aichi,Japan,35.035551,137.211621,506,34,453,19,6.699999827865617,6.7193675889328075,0.06719367588932806,"Aichi, Japan",75,117,6
Akita,Japan,39.748679,140.408228,16,0,16,0,1.6554749661144967,0.0,0.0,"Akita, Japan",0,0,0
Alagoas,Brazil,-9.5713,-36.782,8618,406,0,8212,258.2282926279688,4.711069853794384,0.04711069853794384,"Alagoas, Brazil",0,0,0
Alberta,Canada,53.9333,-116.5765,6979,143,6220,616,158.1411537257095,2.0490041553231118,0.02049004155323112,"Alberta, Canada",933,944,81
Amapa,Brazil,0.902,-52.003,8469,207,0,8262,1001.3822361956695,2.4442082890541976,0.024442082890541977,"Amapa, Brazil",0,0,0
Amazonas,Brazil,-3.4168,-65.8561,38909,2011,0,36898,938.7884998227812,5.1684700197897655,0.05168470019789766,"Amazonas, Brazil",0,0,0
Amazonas,Colombia,-1.4429,-71.5724,1761,59,128,1574,2299.285798221677,3.3503691084611016,0.033503691084611015,"Amazonas, Colombia",1265,555,22
Amazonas,Peru,-5.077253,-78.050172,546,21,0,525,127.92877225866914,3.8461538461538463,0.038461538461538464,"Amazonas, Peru",0,3349,0
Ancash,Peru,-9.407125,-77.67179499999997,3455,241,0,3214,292.6478062002372,6.9753979739507965,0.06975397973950796,"Ancash, Peru",0,0,0
Andalusia,Spain,37.5443,-4.7278,12655,1404,10671,580,150.1648490846233,11.094429079415253,0.11094429079415251,"Andalusia, Spain",658,0,2
Anguilla,United Kingdom,18.2206,-63.0686,3,0,3,0,19.99733368884149,0.0,0.0,"Anguilla, United Kingdom",2099,5,324
Anhui,China,31.8257,117.2264,991,6,985,0,1.5670461733080334,0.6054490413723511,0.006054490413723511,"Anhui, China",17,11,0
Antioquia,Colombia,7.1986,-75.3412,1005,6,409,590,15.685718753970205,0.5970149253731343,0.005970149253731343,"Antioquia, Colombia",0,0,0
Antofagasta,Chile,-23.6509,-70.3975,2318,28,0,2290,381.5424321930954,1.207937877480587,0.012079378774805867,"Antofagasta, Chile",3695,2483,54
Aomori,Japan,40.781541,140.828896,27,1,25,1,2.1662891707204355,3.703703703703704,0.037037037037037035,"Aomori, Japan",0,0,0
Apurimac,Peru,-14.027713,-72.975378,152,0,0,152,35.29138611562573,0.0,0.0,"Apurimac, Peru",0,0,0
Aragon,Spain,41.5976,-0.9057,5671,826,3772,1073,429.4305709737949,14.565332392876035,0.14565332392876035,"Aragon, Spain",0,0,0
Arauca,Colombia,7.0762,-70.7105,1,0,0,1,0.3814260758122468,0.0,0.0,"Arauca, Colombia",0,0,0
Araucania,Chile,-38.9489,-72.3311,1989,47,0,1942,207.78835465888858,2.3629964806435395,0.023629964806435394,"Araucania, Chile",0,0,0
Arequipa,Peru,-15.843524,-72.475539,2921,31,0,2890,195.07145719246688,1.0612803834303322,0.010612803834303321,"Arequipa, Peru",0,0,0
Arica y Parinacota,Chile,-18.594,-69.4785,582,7,0,575,257.4446626678698,1.2027491408934707,0.012027491408934709,"Arica y Parinacota, Chile",0,0,0
Aruba,Netherlands,12.5211,-69.9683,101,3,98,0,94.59940430474121,2.9702970297029703,0.0297029702970297,"Aruba, Netherlands",176,0,28
Asturias,Spain,43.3614,-5.8593,2401,310,1063,1028,234.88439207399688,12.911286963765097,0.12911286963765098,"Asturias, Spain",0,0,0
Atacama,Chile,-23.8634,-69.1328,207,0,0,207,72.33513181068463,0.0,0.0,"Atacama, Chile",0,0,0
Atlantico,Colombia,10.6966,-74.8741,3277,83,421,2773,129.24385835314848,2.5328043942630454,0.025328043942630454,"Atlantico, Colombia",0,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,107,3,104,0,24.994160242933887,2.803738317757009,0.028037383177570093,"Australian Capital Territory, Australia",19,29,0
Ayacucho,Peru,-14.091648,-74.08344,639,6,0,633,95.63005088296914,0.9389671361502347,0.009389671361502348,"Ayacucho, Peru",0,0,0
Aysen,Chile,-45.9864,-73.7669,16,0,0,16,15.510188254909945,0.0,0.0,"Aysen, Chile",0,0,0
Baden-Wurttemberg,Germany,48.6616,9.3501,34708,1749,31595,1364,313.54529590363023,5.039184049786793,0.05039184049786793,"Baden-Wurttemberg, Germany",726,885,34
Bahia,Brazil,-12.5797,-41.7007,16917,609,0,16308,113.74253482671763,3.5999290654371343,0.035999290654371345,"Bahia, Brazil",0,0,0
Baja California,Mexico,30.8406,-115.2838,4886,821,3391,674,134.42028706406944,16.80311092918543,0.16803110929185427,"Baja California, Mexico",0,0,0
Baja California Sur,Mexico,26.0444,-111.6661,594,34,474,86,73.81559522211785,5.723905723905723,0.05723905723905724,"Baja California Sur, Mexico",0,0,0
Baleares,Spain,39.710358,2.995148,2129,209,1533,387,179.17557354698624,9.816815406294037,0.09816815406294034,"Baleares, Spain",0,0,0
